Party.ID,Name,Full_Name
1,LDP,Liberal Democratic Party
2,DPJ,Democratic Party of Japan
3,CGP,Komeito
4,JCP,Japanese Communist Party
5,SDP,Social Democratic Party
7,KRA,Kobe Renewal Association
8,OSM,Okinawa Social Mass Party
9,DRP,Democratic Reform Party
10,NP,National Party
11,NFP,New Frontier Party
12,LP,Liberal Party
13,NCP,New Conservative Party
14,CF,Culture Forum
15,RC,Reform Club
16,NSP,New Socialist Party
17,IC,Independents Club
18,NPS,New Party Sakigake
19,LL,Liberal League
20,PNP,Peoples New Party
21,NPN,New Party Nippon
22,NPD,New Party Daichi
23,RP,Japan Renaissance Party
24,YP,Your Party
28,NRP,New Renaissance Party
30,JRP,Japan Restoration Party
31,TPJ,Tomorrow Party of Japan
33,PLP,Peoples Life Party
34,PFG,Party for Future Generations
35,JIP,Japan Innovation Party
36,JRA,Japan Restoration Association
40,POH,Party of Hope
41,CDP,Constitutional Democratic Party
96,IND-LP,LP Associated Independent
97,IND-DP,DP Associated Independent
98,Others,Others
99,IND,Independent
